Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
"Minimum Cost Path with Left, Right, Bottom and Up moves allowed - GeeksforGeeks",1700,ok,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3","graph, path cost",,,https://www.geeksforgeeks.org/minimum-cost-path-left-right-bottom-moves-allowed/?ref=rp,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Swiggy%20Mascot%20Travel%2095ff829855de46f7b4f8ca1d1501620c.md,"Dec 26, 2020 10:16 AM",,"Mar 01, 2021 3:42 PM",
Maximum sum path in a matrix from top-left to bottom-right - GeeksforGeeks,1500,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb","path cost, standard",,,https://www.geeksforgeeks.org/maximum-sum-path-in-a-matrix-from-top-left-to-bottom-right/?ref=rp,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Path%20with%20Maximum%20gold%20f7c30ab252ee481d84aec8580cd1e660.md,"Dec 26, 2020 10:22 AM",,"May 11, 2021 9:01 AM",
Minimum cost to reach from the top-left to the bottom-right corner of a matrix - Geeksforgeeks,1500,done,https://www.notion.so/BFS-64f502c16c04413cb7e65786ad3a4f0d,path cost,,"Jan 08, 2021",https://www.geeksforgeeks.org/minimum-cost-to-reach-from-the-top-left-to-the-bottom-right-corner-of-a-matrix/?ref=rp,,,"Dec 26, 2020 10:31 AM",,"May 11, 2021 8:59 AM",
Search a 2D Matrix III,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Dec 26, 2020",,,,"Dec 26, 2020 12:06 PM","Given a matrix containing 1's and 0's. In each row all the 1's are before 0's. Find the length of the longest continuous 1's. ","May 11, 2021 9:04 AM",
Unique Binary Search Trees - LeetCode,1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,O(n^2),,"Dec 27, 2020",https://leetcode.com/problems/unique-binary-search-trees/,,,"Dec 27, 2020 8:22 AM",,"May 11, 2021 9:11 AM",
Count the Number of Binary Search Trees present in a Binary Tree - GeeksforGeeks,1500,ok,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,alphonso,,,https://www.geeksforgeeks.org/count-the-number-of-binary-search-trees-present-in-a-binary-tree/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Validate%20Binary%20Search%20Tree%203a1ac6b53afb4610b460ef27f8ae4d67.md,,"Dec 27, 2020 8:33 AM",,"May 11, 2021 9:11 AM",
Maximum number of trailing zeros in the product of the subsets of size k - Geeksforgeeks,1700,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",new,,,https://www.geeksforgeeks.org/maximum-number-of-trailing-zeros-in-the-product-of-the-subsets-of-size-k/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/B%20The%20least%20round%20way%209889b0d9a536439cab8ba6814793987d.md,"Dec 27, 2020 9:13 AM",,"Mar 01, 2021 8:48 AM",
B. The least round way,2000,ok,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee","logic, new, path cost",2,"Jan 22, 2021",http://codeforces.com/contest/2/problem/B,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Maximum%20number%20of%20trailing%20zeros%20in%20the%20product%20of%20a5aacb4515814d8d81b1f5782bb2501d.md,,"Dec 27, 2020 11:16 AM",,"Mar 01, 2021 8:47 AM",
Number of subsets with zero sum - GeeksforGeeks,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Knapsack-e1ea6dfd10d74218b7477511a6be96f8",knapsack,,"Jan 08, 2021",https://www.geeksforgeeks.org/number-of-subsets-with-zero-sum/?ref=rp,,,"Dec 27, 2020 1:26 PM",,"May 11, 2021 9:10 AM",
Minimum Score Triangulation of Polygon - LeetCode,1600,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",,1,,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/,,,"Dec 27, 2020 5:11 PM",,"Mar 01, 2021 8:48 AM",
