Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Construct Complete Binary tree,1600,de shaw,ok,1,"Dec 19, 2020",,https://www.notion.so/BST-complete-BST-c42d097b89e0465291e3134085a48cb0,,"Dec 19, 2020 5:16 PM","May 11, 2021 9:11 AM","Given an integer n. Construct a complete binary tree containing n elements. ",,../Binary%20Tree%202b7ef3f8a3684c2c8790ae61ff7ddaea.md
Get the Maximum Score - LeetCode,2000,hard,waiting,2,"Jan 23, 2021",,,https://leetcode.com/problems/get-the-maximum-score/,"Dec 19, 2020 7:01 PM","Mar 01, 2021 3:43 PM",,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md"
Make water in all buckets equal,1600,"de shaw, new, unproven",ok,1,,,,,"Dec 19, 2020 9:39 PM","Feb 22, 2021 9:23 PM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Longest Palindromic Subsequence - LeetCode,1500,O(n^2),done,,"Dec 19, 2020",,,https://leetcode.com/problems/longest-palindromic-subsequence/,"Dec 19, 2020 10:34 PM","Mar 01, 2021 8:47 AM",,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Intervals%20ebd124f2083d4f999c01b25e664d9e01.md"
"algorithm - Easy interview question got harder: given numbers 1..100, find the missing number(s) given exactly k are missing - Stack Overflow",,,waiting,,,,,https://stackoverflow.com/questions/3492302/easy-interview-question-got-harder-given-numbers-1-100-find-the-missing-numbe,"Dec 19, 2020 10:37 PM","Feb 18, 2021 7:45 AM",,,
"[Longest common substring] Maximum Length of Repeated Subarray - LeetCode ",1500,standard,done,1,"Dec 19, 2020",,,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,"Dec 19, 2020 10:58 PM","Mar 01, 2021 8:47 AM",Longest common subarray among the two arrays,,"../Two%20Pointers%205f3e09475eb74b08b0880a7c6e1baa74.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Minimum Size Subarray Sum - LeetCode,1500,"monotonic, standard",done,,"Jan 09, 2021",,,https://leetcode.com/problems/minimum-size-subarray-sum/,"Dec 19, 2020 11:20 PM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Minimum Cost to Cut a Stick - LeetCode,2000,O(n^3),done,2,"Jan 10, 2021",,,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,"Dec 20, 2020 8:40 AM","Mar 01, 2021 8:48 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Swapping Game,1800,"de shaw, unverified",ok,1,,,,https://www.geeksforgeeks.org/de-shaw-interview-experience-2/,"Dec 20, 2020 8:51 AM","Mar 01, 2021 8:48 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Light up the garden,1500,"de shaw, unverified",ok,,"Dec 20, 2020",,,https://www.geeksforgeeks.org/de-shaw-interview-experience-2/,"Dec 20, 2020 9:17 AM","May 11, 2021 9:01 AM",,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md, ../Linear%20DP%2040f64e6224704d17972aa352dc735edb.md"
